ROWID,Country,State lgd code,State,District lgd code,District,YearCode,Year,Social group type,Land area size,Category of holdings,Wholly irrigated holdings,Area of wholly irrigated holdings,Wholly unirrigated holdings,Area of wholly unirrigated holdings,Partially irrigated holdings,Irrigated area of partially irrigated holdings,Area of partially irrigated holdings,Holdings receiving irrigation,Net irrigated area of holdings receiving irrigation
1,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,15,10.15,0,0,2,0.128,1.047,17,10.278
2,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,7,10.25,0,0,0,0,0,7,10.25
3,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,2,21.75,0,0,0,0,0,2,21.75
4,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,10,25.7,0,0,0,0,0,10,25.7
5,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,9,30,0,0,0,0,0,9,30
6,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,1,4.25,0,0,0,0,0,1,4.25
7,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,3,18.65,0,0,0,0,0,3,18.65
8,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,0,0,2,19.3,0,0,0,0,0
9,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,1,26.05,0,0,0,0,0,1,26.05
10,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,84,21.955,20,1.595,0,0,0,84,21.955
11,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,9532,6455.132,2955,1932.697,5023,2193.601,3469.991,14555,8648.733
12,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,1921,2478.278,1016,1299.336,2807,2303.681,3791,4728,4781.959
13,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,1,10.4,4,44.25,0,0,0,1,10.4
14,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,202,491.513,71,170.261,475,676.605,1139.901,677,1168.118
15,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,109,381.311,3,11.681,149,324.286,552.267,258,705.597
16,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,23,99.85,0,0,6,7.963,23.319,29,107.813
17,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,7,39.85,0,0,0,0,0,7,39.85
18,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,2,17.95,0,0,0,0,0,2,17.95
19,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0,0,0,0,0,0
20,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,63736,14034.641,17599,4116.55,4311,934.531,1546.068,68047,14969.172
21,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
22,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
23,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
24,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
25,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
26,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
27,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
28,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
29,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0
30,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
31,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,549,394.488,1005,669.298,168,72.724,116.651,717,467.212
32,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,78,107.95,136,178.229,34,13.054,39.826,112,121.004
33,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
34,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,7,16.7,23,57.191,2,1.369,5.468,9,18.069
35,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,4,13.8,0,0,0,0,0,4,13.8
36,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,1,4.6,1,4.6,0,0,0,1,4.6
37,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,1,5.45,0,0,0,0,0,1,5.45
38,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
39,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0,0,0,0,0,0
40,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,929,297.874,6414,1486.087,67,13.571,21.923,996,311.445
41,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,15,11.65,0,0,0,0,0,15,11.65
42,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,24,39,0,0,0,0,0,24,39
43,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,3,36.2,0,0,0,0,0,3,36.2
44,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,2,4.55,0,0,0,0,0,2,4.55
45,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,1,3.8,0,0,0,0,0,1,3.8
